#---------------------------------------------------------------------------------------------------------------
#     NAME                    P0                                     P1                               P1_I
#                             (s)
#---------------------------------------------------------------------------------------------------------------
151   J0818-3232   bjd+06     2.161258926939          15  bjd+06     0.7534E-15         5  bjd+06     *
152   B0818-13     vl70       1.2381295438682          8  hlk+04     2.105178E-15       7  hlk+04     2.09e-15
153   J0820-3826   bkl+13     0.1248363804193          7  bkl+13     2.44174E-15       11  bkl+13     *
154   J0820-3921   bjd+06     1.07356658405            4  bjd+06     12.169E-15         4  bjd+06     *
155   B0818-41     mlt+78     0.54544553611            2  antt94     1.89E-17          13  antt94     *

156   J0821-4221   bjd+06     0.3967282353771         19  bjd+06     3.47811E-15        7  bjd+06     *
157   B0823+26     cls68      0.53066051169            3  hlk+04     1.70932E-15        9  hlk+04     1.70e-15
158   B0826-34     mlt+78     1.84891880365           11  hlk+04     9.963E-16          5  hlk+04     *
159   J0831-4406   kbm+03     0.311673518473          11  kbm+03     1.279E-15          6  kbm+03     *
160   J0834-4159   kbm+03     0.121116349354          15  kbm+03     4.437E-15          8  kbm+03     *

161   J0835-3707   mlc+01     0.541404373627          15  mlc+01     9.778E-15          9  mlc+01     *
162   B0833-45     lvm68      0.089328385024           4  dml02      1.25008E-13       16  dml02      1.25e-13
163   B0834+06     phbc68     1.2737682915785          7  hlk+04     6.799219E-15       5  hlk+04     6.79e-15
164   B0835-41     lvw68      0.751623617646           8  wmz+01     3.5393E-15        12  wmz+01     3.54e-15
165   J0838-2621   bjd+06     0.3085806621443         20  bjd+06     0.0390E-15         3  bjd+06     *

166   J0838-3947   mlc+01     1.7039457055             9  mlc+01     8.1E-16           32  mlc+01     *
167   B0839-53     mlt+78     0.72061236106            2  dmk+93     1.644E-15          1  dmk+93     *
168   B0840-48     mlt+78     0.64435405580           12  nmc81      9.497E-15          6  nmc81      *
169   J0843-5022   ebvb01     0.2089556931527         14  ebvb01     1.7238E-16        14  ebvb01     *
170   B0844-35     mlt+78     1.116097163402           5  hlk+04     1.60135E-15        3  hlk+04     1.57e-15

171   J0849-6322   ebvb01     0.367953256307           5  ebvb01     7.908E-16          5  ebvb01     *
172   B0841+80     dtws85     1.60222797387            4  hlk+04     4.463E-16          3  hlk+04     *
173   B0853-33     mlt+78     1.267535702756           5  hlk+04     6.32095E-15        3  hlk+04     *
174   J0855-4644   kbm+03     0.0646861308252          4  kbm+03     7.26269E-15        3  kbm+03     *
175   J0855-4658   kbm+03     0.57507238258            4  kbm+03     1.362E-14          2  kbm+03     *

176   B0855-61     mlt+78     0.9625085573             3  nmc81      1.677E-15         10  nmc81      *
177   J0857-4424   lml+98     0.326774210079           2  dsb+98     2.334387E-14       5  dsb+98     *
178   J0901-4624   mlc+01     0.441995130786          14  mlc+01     8.7494E-14         8  mlc+01     *
179   B0901-63     mlt+78     0.6603133715             2  nmc81      1.07E-16           9  nmc81      *
180   B0903-42     mlt+78     0.9651709987             4  nmc81      1.887E-15         18  nmc81      *

181   B0904-74     mlt+78     0.54955311909           12  nmc81      4.63E-16           6  nmc81      *
182   J0905-4536   mld+96     0.9882805974             2  dsb+98     1.49E-16           3  dsb+98     *
183   J0905-5127   mld+96     0.346287436779           2  dsb+98     2.489796E-14       4  dsb+98     *
184   J0905-6019   bbb+12     0.340854176542           8  bbb+12     0.5220E-15         3  bbb+12     *
185   B0905-51     mlt+78     0.253556015011           3  smd93      1.8303E-15         2  smd93      *

186   B0906-17     mlt+78     0.40162562344216        18  hlk+04     6.695000E-16      17  hlk+04     6.67e-16
187   B0906-49     dmd+88     0.10675459250            3  dmd+88     1.5151E-14         2  dmd+88     *
188   B0909-71     mlt+78     1.3628899542             5  nmc81      3.33E-16          17  nmc81      *
189   J0919-6040   bbb+12     1.2169757230             6  bbb+12     0.01E-15           2  bbb+12     *
190   B0917+63     dtws85     1.567994018480           4  hlk+04     3.60812E-15        4  hlk+04     *

191   B0919+06     mlt+78     0.430627098928          17  spl13      1.37294E-14       10  spl13      1.37e-14
192   J0922-4949   mlc+01     0.950288537028           8  mlc+01     9.7569E-14         4  mlc+01     *
193   B0922-52     mlt+78     0.74629520954           10  nmc81      3.5477E-14         5  nmc81      *
194   B0923-58     mlt+78     0.73950132654            4  dmk+93     4.878E-15          2  dmk+93     *
195   J0931-1902   abb+15     0.00463802939121         7  abb+15     4.1E-21           13  abb+15     *

196   J0932-3217   ebvb01     1.93162674308           19  ebvb01     2.50E-16          15  ebvb01     *
197   J0932-5327   lfl+06     4.3921587127             6  lfl+06     8.37E-15           8  lfl+06     *
198   J0934-4154   ebvb01     0.570409236430          14  ebvb01     2.69E-16           3  ebvb01     *
199   B0932-52     mlt+78     1.44477320982            3  dmk+93     4.654E-15          2  dmk+93     *
200   J0940-5428   mlc+01     0.087545204308           4  mlc+01     3.28683E-14       10  mlc+01     *

